# clang-format violation report
# clang-format version: clang-format version 21.1.6
# date: 2026-02-07T11:59:26Z
# config: /home/sean/code/ponylang/ponyc/.clang-format
#
# violations file
161 src/libponyrt/sched/start.c
32 src/libponyrt/sched/systematic_testing.c
16 src/libponyrt/sched/systematic_testing.h
1695 src/libponyrt/tracing/tracing.c
54 src/libponyrt/tracing/tracing.h
21 src/ponyc/main.c
#
# total_files: 275
# failing_files: 263
# total_violations: 29504
